date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:06	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Nov%202023%2018:45:06%20GMT	https://creativefox.studio/robots.txt		(from )
23:45:22	96811/96811	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Nov%202023%2018:45:06%20GMT	https://creativefox.studio/	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/index.html	(from )
23:45:54	121457/121457	---MCZ	200	added ('OK')	text/css	etag:W/%227f89537eaf606bff49f5cc1a7c24dbca%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from https://creativefox.studio/)
23:46:22	110/110	---M--	408	error ('Request%20Time-out')	text/html		https://creativefox.studio/styles/style.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/styles/style.1.delayed	(from https://creativefox.studio/)
23:46:24	1391/1391	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2004:10:48%20GMT	https://creativefox.studio/styles/slider.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/styles/slider.css	(from https://creativefox.studio/)
23:46:24	670/670	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2007:17:08%20GMT	https://creativefox.studio/styles/ticker.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/styles/ticker.css	(from https://creativefox.studio/)
23:46:25	461/461	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2019:50:49%20GMT	https://creativefox.studio/styles/toggle_buttons.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/styles/toggle_buttons.css	(from https://creativefox.studio/)
23:46:25	312/312	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2020:14:57%20GMT	https://creativefox.studio/styles/whatsapp.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/styles/whatsapp.css	(from https://creativefox.studio/)
23:46:26	1038/1038	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Mar%202023%2016:43:02%20GMT	https://creativefox.studio/assets/favicon.png	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/creativefox.studio/assets/favicon.png	(from https://creativefox.studio/)
23:46:30	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://creativefox.studio/)
23:46:31	89947/89947	---M--	200	added ('OK')	text/javascript	date:Wed,%2011%20Jan%202023%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js	C:/Users/YaseenAmaan/OneDrive/Pictures/New%20folder%20(2)/yaseen/ajax.googleapis.com/ajax/libs/jquery/3.6.3/jquery.min.js	(from https://creativefox.studio/)
